source,n
Минобороны России,34552
МИД России 🇷🇺,29936
МВД МЕДИА,28348
МЧС России,17530
Правительство России,16845
kremlin.ru,12119
Минстрой России,11199
duma.gov.ru,10544
Русский дом,10447
Marina Akhmedova,8421
Настоящий Гладков,8245
Росгвардия,8210
council.gov.ru,6882
Мэр Москвы Сергей Собянин,5653
Юнармия,5515
Минфин России,5295
Kadyrov_95,5283
Мария Захарова,4957
Минэкономразвития России,4951
Кремль. Новости,4610
Минпромторг России,4110
Совет Федерации,3926
Минтранс России,3702
Мария Львова-Белова,3335
Государственная Дума,3147
Минэнерго России,2668
Юрий Слюсарь,2512
Адам Делимханов,1997
Росфинмониторинг,1900
Минцифры России,1898
Embassy of Russia in the USA / Посольство России в США,1877
Владимир Мединский,1156
Вячеслав Володин,1053
РоскомнадZор,873
Дмитрий Медведев,479
Валентина Матвиенко,61
